frequency;V(/BPF) (phase);V(/BPF) (gain);V(/BSF) (phase);V(/BSF) (gain);V(/HPF) (phase);V(/HPF) (gain);V(/LPF) (phase);V(/LPF) (gain);
38.0189;-90.2248;-28.5034;179.783;-0.000194129;179.767;-57.0187;-0.217;0.0120405;
38.9045;-90.2297;-28.3028;179.778;-0.000197051;179.763;-56.6182;-0.222069;0.0126146;
39.8107;-90.2347;-28.1022;179.773;-0.000200112;179.758;-56.2176;-0.227257;0.0132158;
40.738;-90.2398;-27.9016;179.767;-0.000203318;179.753;-55.8169;-0.232567;0.0138454;
41.6869;-90.245;-27.7009;179.762;-0.000206676;179.748;-55.4163;-0.238002;0.0145047;
42.658;-90.2504;-27.5002;179.756;-0.000210194;179.743;-55.0156;-0.243564;0.0151951;
43.6516;-90.2559;-27.2995;179.751;-0.000213878;179.737;-54.6149;-0.249258;0.0159181;
44.6684;-90.2615;-27.0987;179.745;-0.000217738;179.732;-54.2141;-0.255086;0.0166752;
45.7088;-90.2673;-26.8979;179.739;-0.00022178;179.726;-53.8133;-0.261051;0.0174682;
46.7735;-90.2732;-26.6971;179.733;-0.000226015;179.721;-53.4125;-0.267156;0.0182985;
47.863;-90.2792;-26.4962;179.727;-0.000230451;179.715;-53.0116;-0.273406;0.0191681;
48.9779;-90.2855;-26.2953;179.72;-0.000235098;179.709;-52.6107;-0.279803;0.0200787;
50.1187;-90.2918;-26.0944;179.714;-0.000239966;179.703;-52.2098;-0.286351;0.0210324;
51.2861;-90.2984;-25.8934;179.707;-0.000245066;179.696;-51.8088;-0.293054;0.0220311;
52.4807;-90.3051;-25.6923;179.7;-0.000250408;179.69;-51.4077;-0.299915;0.023077;
53.7032;-90.3119;-25.4912;179.693;-0.000256005;179.683;-51.0066;-0.306939;0.0241724;
54.9541;-90.3189;-25.2901;179.686;-0.000261869;179.676;-50.6055;-0.314128;0.0253195;
56.2341;-90.3261;-25.0889;179.679;-0.000268012;179.669;-50.2043;-0.321489;0.0265208;
57.544;-90.3335;-24.8876;179.671;-0.000274449;179.662;-49.803;-0.329024;0.0277789;
58.8844;-90.3411;-24.6863;179.663;-0.000281192;179.655;-49.4017;-0.336737;0.0290965;
60.256;-90.3488;-24.4849;179.655;-0.000288258;179.647;-49.0003;-0.344634;0.0304765;
61.6595;-90.3567;-24.2835;179.647;-0.000295661;179.639;-48.5989;-0.352719;0.0319216;
63.0957;-90.3648;-24.082;179.639;-0.000303419;179.631;-48.1974;-0.360996;0.0334352;
64.5654;-90.3732;-23.8804;179.631;-0.000311548;179.623;-47.7958;-0.369471;0.0350204;
66.0693;-90.3817;-23.6787;179.622;-0.000320066;179.615;-47.3941;-0.378147;0.0366805;
67.6083;-90.3904;-23.477;179.613;-0.000328992;179.606;-46.9924;-0.387031;0.0384193;
69.1831;-90.3994;-23.2752;179.604;-0.000338346;179.597;-46.5905;-0.396127;0.0402404;
70.7946;-90.4086;-23.0733;179.595;-0.00034815;179.588;-46.1886;-0.405441;0.0421476;
72.4436;-90.418;-22.8713;179.585;-0.000358425;179.579;-45.7866;-0.414978;0.0441453;
74.131;-90.4276;-22.6692;179.575;-0.000369194;179.57;-45.3846;-0.424743;0.0462375;
75.8578;-90.4374;-22.467;179.565;-0.000380481;179.56;-44.9824;-0.434744;0.0484289;
77.6247;-90.4475;-22.2647;179.555;-0.000392312;179.55;-44.5801;-0.444985;0.0507242;
79.4328;-90.4579;-22.0623;179.545;-0.000404714;179.54;-44.1777;-0.455473;0.0531283;
81.2831;-90.4685;-21.8598;179.534;-0.000417714;179.529;-43.7751;-0.466214;0.0556464;
83.1764;-90.4794;-21.6571;179.523;-0.000431343;179.518;-43.3725;-0.477215;0.0582839;
85.1138;-90.4905;-21.4544;179.512;-0.000445632;179.507;-42.9697;-0.488482;0.0610466;
87.0964;-90.5019;-21.2515;179.5;-0.000460613;179.496;-42.5668;-0.500022;0.0639404;
89.1251;-90.5136;-21.0484;179.488;-0.000476321;179.485;-42.1638;-0.511844;0.0669717;
91.2011;-90.5256;-20.8453;179.476;-0.000492793;179.473;-41.7606;-0.523953;0.0701469;
93.3254;-90.5379;-20.6419;179.464;-0.000510065;179.461;-41.3573;-0.536357;0.073473;
95.4993;-90.5504;-20.4385;179.451;-0.00052818;179.448;-40.9538;-0.549065;0.0769572;
97.7237;-90.5633;-20.2348;179.438;-0.000547179;179.435;-40.5502;-0.562085;0.080607;
100;-90.5765;-20.031;179.425;-0.000567106;179.422;-40.1464;-0.575424;0.0844306;
102.329;-90.5901;-19.827;179.411;-0.00058801;179.409;-39.7424;-0.589092;0.0884361;
104.713;-90.604;-19.6228;179.397;-0.000609939;179.395;-39.3382;-0.603098;0.0926323;
107.152;-90.6182;-19.4184;179.382;-0.000632945;179.381;-38.9338;-0.617451;0.0970285;
109.648;-90.6328;-19.2138;179.368;-0.000657085;179.367;-38.5292;-0.63216;0.101634;
112.202;-90.6477;-19.009;179.353;-0.000682416;179.352;-38.1243;-0.647235;0.10646;
114.815;-90.6631;-18.8039;179.337;-0.000708999;179.337;-37.7193;-0.662687;0.111515;
117.49;-90.6788;-18.5986;179.321;-0.0007369;179.321;-37.314;-0.678526;0.116812;
120.226;-90.6949;-18.3931;179.305;-0.000766187;179.305;-36.9084;-0.694764;0.122362;
123.027;-90.7114;-18.1872;179.288;-0.000796933;179.289;-36.5026;-0.711411;0.128178;
125.893;-90.7284;-17.9811;179.271;-0.000829213;179.272;-36.0965;-0.72848;0.134271;
128.825;-90.7457;-17.7748;179.254;-0.000863109;179.254;-35.6901;-0.745983;0.140657;
131.826;-90.7636;-17.5681;179.236;-0.000898707;179.237;-35.2834;-0.763933;0.147348;
134.896;-90.7819;-17.3611;179.217;-0.000936098;179.219;-34.8764;-0.782343;0.15436;
138.038;-90.8006;-17.1537;179.199;-0.000975376;179.2;-34.4691;-0.801227;0.161708;
141.254;-90.8199;-16.946;179.179;-0.00101664;179.181;-34.0614;-0.820599;0.16941;
144.544;-90.8396;-16.7379;179.159;-0.00106001;179.161;-33.6533;-0.840474;0.177482;
147.911;-90.8599;-16.5295;179.139;-0.00110559;179.141;-33.2449;-0.860869;0.185942;
151.356;-90.8807;-16.3206;179.118;-0.0011535;179.12;-32.836;-0.881798;0.194809;
154.882;-90.902;-16.1113;179.096;-0.00120387;179.099;-32.4267;-0.90328;0.204104;
158.489;-90.924;-15.9016;179.074;-0.00125684;179.077;-32.017;-0.925332;0.213848;
162.181;-90.9465;-15.6914;179.052;-0.00131256;179.055;-31.6067;-0.947973;0.224062;
165.959;-90.9696;-15.4807;179.028;-0.00137117;179.032;-31.196;-0.971221;0.234771;
169.824;-90.9934;-15.2694;179.004;-0.00143285;179.008;-30.7848;-0.995097;0.245998;
173.78;-91.0178;-15.0577;178.98;-0.00149776;178.984;-30.373;-1.01962;0.25777;
177.828;-91.0428;-14.8453;178.955;-0.0015661;178.959;-29.9607;-1.04482;0.270114;
181.97;-91.0686;-14.6324;178.929;-0.00163807;178.934;-29.5478;-1.07071;0.283058;
186.209;-91.0951;-14.4188;178.902;-0.00171387;178.907;-29.1342;-1.09733;0.296632;
190.546;-91.1223;-14.2046;178.875;-0.00179374;178.88;-28.7199;-1.12468;0.310869;
194.984;-91.1503;-13.9896;178.847;-0.00187791;178.852;-28.305;-1.15281;0.325801;
199.526;-91.1791;-13.774;178.818;-0.00196665;178.824;-27.8893;-1.18174;0.341465;
204.174;-91.2087;-13.5575;178.788;-0.00206024;178.794;-27.4729;-1.2115;0.357897;
208.93;-91.2392;-13.3403;178.757;-0.00215897;178.764;-27.0557;-1.24212;0.375136;
213.796;-91.2705;-13.1222;178.725;-0.00226317;178.733;-26.6376;-1.27364;0.393224;
218.776;-91.3029;-12.9032;178.693;-0.00237318;178.7;-26.2186;-1.30609;0.412204;
223.872;-91.3361;-12.6833;178.659;-0.00248936;178.667;-25.7987;-1.33951;0.432123;
229.087;-91.3704;-12.4624;178.625;-0.00261213;178.633;-25.3778;-1.37394;0.45303;
234.423;-91.4057;-12.2405;178.589;-0.0027419;178.598;-24.9558;-1.40941;0.474975;
239.883;-91.4422;-12.0174;178.553;-0.00287914;178.562;-24.5328;-1.44598;0.498013;
245.471;-91.4797;-11.7932;178.515;-0.00302435;178.524;-24.1086;-1.48369;0.522202;
251.189;-91.5185;-11.5678;178.476;-0.00317807;178.486;-23.6832;-1.52259;0.547602;
257.04;-91.5584;-11.3412;178.436;-0.00334089;178.446;-23.2566;-1.56274;0.574279;
263.027;-91.5997;-11.1131;178.394;-0.00351344;178.405;-22.8285;-1.60418;0.6023;
269.153;-91.6424;-10.8837;178.351;-0.00369642;178.362;-22.3991;-1.64699;0.631738;
275.423;-91.6865;-10.6528;178.307;-0.00389057;178.318;-21.9682;-1.69123;0.662669;
281.838;-91.732;-10.4203;178.261;-0.0040967;178.273;-21.5357;-1.73696;0.695175;
288.403;-91.7792;-10.1861;178.213;-0.00431572;178.226;-21.1015;-1.78426;0.729342;
295.121;-91.8279;-9.95018;178.164;-0.00454859;178.177;-20.6656;-1.83322;0.765262;
301.995;-91.8785;-9.71241;178.113;-0.00479638;178.127;-20.2278;-1.88391;0.803034;
309.03;-91.9308;-9.47269;178.06;-0.00506025;178.075;-19.7881;-1.93643;0.84276;
316.228;-91.9851;-9.2309;178.006;-0.0053415;178.021;-19.3463;-1.99087;0.884552;
